kabupaten,primer_q1,primer_q2,primer_q3,primer_q4,primer_tahun,sekunder_q1,sekunder_q2,sekunder_q3,sekunder_q4,sekunder_tahun,tersier_q1,tersier_q2,tersier_q3,tersier_q4,tersier_tahun,pdrb_q1,pdrb_q2,pdrb_q3,pdrb_q4,pdrb_tahun
Kaimana,189.95,184.89,187.17,190.47,752.48,173.09,195.07,225.48,250.47,844.11,388.89,394.86,402.98,416.92,1603.63,751.92,774.82,815.62,857.86,3200.22
Teluk Wondama,133.95,135.90,140.14,145.45,555.44,90.16,93.48,105.99,100.81,390.44,237.90,253.94,237.14,248.59,977.57,462.01,483.32,483.27,494.85,1923.45
Teluk Bintuni,5446.61,5341.57,5369.29,5532.18,21689.65,8483.21,8321.84,8320.36,8725.09,33850.50,420.44,420.22,423.46,410.31,1674.43,14350.26,14083.63,14113.11,14667.58,57214.58
Manokwari,421.46,429.37,438.03,431.52,1720.38,578.31,594.43,602.01,618.00,2392.75,1933.69,1964.20,1987.86,2044.18,7929.92,2933.46,2988.00,3027.90,3093.70,12043.05
Manokwari Selatan,147.20,149.91,148.96,149.86,595.93,11.33,11.35,11.58,11.84,46.09,103.84,105.09,105.63,109.54,424.11,262.37,266.35,266.17,271.24,1066.12
Pegunungan Arfak,16.10,16.13,16.34,16.33,64.89,20.27,20.29,21.28,21.36,83.20,58.84,58.98,58.36,60.78,236.97,95.21,95.39,95.99,98.47,385.06
Raja Ampat,667.89,655.18,644.13,666.45,2633.65,127.08,126.21,132.40,134.96,520.66,287.64,285.44,281.28,301.07,1155.43,1082.61,1066.84,1057.81,1102.48,4309.74
Sorong,821.04,837.67,839.33,847.68,3345.72,1914.56,1908.79,1946.93,2003.37,7773.65,557.37,567.03,576.26,582.10,2282.76,3292.98,3313.49,3362.53,3433.14,13402.13
Sorong Selatan,156.32,160.54,161.65,164.77,643.27,140.71,145.82,152.84,158.34,597.71,291.43,297.02,304.16,320.65,1213.26,588.46,603.38,618.65,643.75,2454.25
Maybrat,55.20,56.82,57.67,59.61,229.31,34.09,35.31,37.16,38.95,145.51,123.79,131.98,131.09,138.11,524.98,213.08,224.11,225.93,236.67,899.80
Tambrauw,22.03,22.40,22.47,22.68,89.58,17.27,17.69,17.94,18.75,71.66,41.06,42.21,42.65,44.10,170.03,80.36,82.30,83.06,85.54,331.27
Kota Sorong,439.50,436.21,433.83,452.68,1762.22,955.76,931.65,980.74,1032.26,3900.40,3001.00,3073.91,3082.31,3217.66,12374.89,4396.25,4441.77,4496.88,4702.60,18037.50
Jayapura,997.90,1031.03,1052.07,1070.04,4151.04,1032.53,1041.41,1097.72,1124.17,4295.82,3161.08,3248.54,3286.86,3386.68,13083.16,5191.51,5320.97,5436.65,5580.89,21530.02
Kepulauan Yapen,341.24,351.79,354.74,365.16,1412.93,156.02,156.71,162.00,166.34,641.07,841.85,872.01,875.38,889.81,3479.05,1339.11,1380.51,1392.12,1421.30,5533.05
