kabupaten,primer_q1,primer_q2,primer_q3,primer_q4,primer_tahun,sekunder_q1,sekunder_q2,sekunder_q3,sekunder_q4,sekunder_tahun,tersier_q1,tersier_q2,tersier_q3,tersier_q4,tersier_tahun,pdrb_q1,pdrb_q2,pdrb_q3,pdrb_q4,pdrb_tahun
Pringsewu,827.70,1024.80,1027.65,946.95,3827.10,1002.91,1054.79,1102.94,1139.14,4299.79,2006.79,2080.41,2074.09,2126.40,8287.69,3837.41,4160.00,4204.68,4212.49,16414.57
Mesuji,1294.13,1576.03,1543.73,1412.13,5826.01,1210.98,1282.62,1351.31,1384.35,5229.26,1057.86,1103.14,1099.30,1121.36,4381.67,3562.97,3961.79,3994.34,3917.85,15436.94
Tulang Bawang Barat,1112.30,1601.12,1595.90,1168.58,5477.90,1453.90,1522.18,1604.81,1696.23,6277.12,1235.09,1275.06,1268.14,1328.99,5107.29,3801.29,4398.36,4468.85,4193.81,16862.32
Pesisir Barat,746.43,860.10,867.91,801.42,3275.86,174.80,185.15,188.81,199.76,748.52,641.78,664.95,666.91,681.71,2655.36,1563.01,1710.20,1723.63,1682.90,6679.74
Kota Bandar Lampung,1209.67,1311.93,1315.11,1308.33,5145.04,6138.49,6576.73,6842.70,7004.22,26562.15,13255.69,13716.96,13534.76,13764.97,54272.38,20603.85,21605.62,21692.57,22077.53,85979.57
Kota Metro,93.38,130.20,131.64,106.63,461.85,495.95,521.44,555.96,563.53,2136.87,1590.55,1649.46,1661.42,1685.05,6586.48,2179.88,2301.10,2349.01,2355.21,9185.20
Bangka,1520.16,1611.04,1626.25,1767.47,6524.91,1723.22,1820.45,1878.36,1983.97,7406.00,1850.67,2028.90,1986.30,2099.66,7965.53,5094.05,5460.39,5490.90,5851.10,21896.44
Belitung,1199.97,1268.37,1239.09,1387.71,5095.13,888.10,890.34,912.94,918.18,3609.56,1539.29,1669.53,1632.15,1697.35,6538.32,3627.35,3828.24,3784.18,4003.23,15243.01
Bangka Barat,1055.92,1152.17,1155.68,1192.35,4556.13,2384.62,2632.94,2747.41,3448.07,11213.04,1330.97,1390.24,1402.63,1513.32,5637.15,4771.50,5175.35,5305.72,6153.74,21406.32
Bangka Tengah,837.77,887.56,950.73,1039.46,3715.51,674.89,644.12,614.97,540.77,2474.75,1576.72,1713.06,1665.54,1790.23,6745.54,3089.37,3244.75,3231.23,3370.46,12935.80
Bangka Selatan,1821.96,1913.52,1890.89,2046.00,7672.38,387.58,393.69,410.73,442.52,1634.51,895.45,965.62,947.97,972.04,3781.08,3104.99,3272.83,3249.59,3460.56,13087.97
Belitung Timur,1102.33,1182.00,1198.78,1308.92,4792.03,818.81,843.63,837.64,877.08,3377.17,902.96,982.34,949.91,973.67,3808.87,2824.10,3007.98,2986.33,3159.67,11978.07
Kota Pangkal Pinang,242.50,253.03,239.74,273.08,1008.34,1317.80,1363.62,1251.87,1054.55,4987.83,3366.29,3655.74,3562.70,3780.36,14365.08,4926.58,5272.39,5054.30,5107.98,20361.26
Karimun,1058.46,1130.35,1231.82,1333.84,4754.47,1580.37,1638.98,1739.86,1830.29,6789.49,2034.60,2095.64,2097.15,2174.61,8402.00,4673.43,4864.97,5068.83,5338.73,19945.96
Bintan,543.22,593.82,605.81,659.61,2402.46,5432.61,5388.26,5579.58,5880.48,22280.94,1886.14,2081.68,2128.37,2233.69,8329.88,7861.97,8063.76,8313.77,8773.78,33013.28
Natuna,4403.66,4790.28,5441.88,5268.88,19904.70,526.07,529.71,526.97,527.20,2109.95,587.22,613.96,599.97,600.76,2401.92,5516.95,5933.95,6568.82,6396.85,24416.56
Lingga,381.57,421.06,430.07,447.13,1679.84,280.08,284.15,289.13,312.72,1166.08,746.29,780.00,783.76,797.29,3107.35,1407.94,1485.21,1502.97,1557.15,5953.28
Kepulauan Anambas,3752.73,4184.23,4778.85,4654.94,17370.76,288.84,302.04,306.37,321.11,1218.36,365.81,406.17,378.25,384.15,1534.38,4407.39,4892.44,5463.47,5360.20,20123.50
Kota Batam,460.81,527.91,576.17,526.23,2091.12,48644.08,49407.82,49380.49,52985.92,200418.31,12373.09,12584.10,12819.56,13353.64,51130.38,61477.98,62519.84,62776.22,66865.78,253639.82
Kota Tanjung Pinang,42.65,44.65,45.10,45.87,178.27,1907.02,1931.67,1840.36,2044.37,7723.41,4434.57,4674.04,4554.19,5074.33,18737.13,6384.24,6650.36,6439.65,7164.57,26638.82
Kep. Seribu,1510.50,1340.47,1284.22,1343.55,5478.73,130.31,129.49,134.09,138.24,532.13,345.60,360.94,363.24,370.76,1440.54,1986.41,1830.90,1781.55,1852.55,7451.41
Kota Jakarta Selatan,116.33,117.08,117.16,118.48,469.05,26110.67,26689.84,27706.67,29286.58,109793.76,195511.09,199702.45,197578.83,204754.08,797546.45,221738.09,226509.37,225402.67,234159.13,907809.26
Kota Jakarta Timur,121.56,122.03,122.88,124.26,490.74,59594.96,59733.73,61977.84,64849.07,246155.60,103947.19,106597.08,107025.84,109940.15,427510.26,163663.71,166452.85,169126.57,174913.48,674156.60
Kota Jakarta Pusat,14.60,14.43,14.57,15.71,59.30,20787.14,21258.30,22050.27,23045.95,87141.66,220360.70,225823.54,222407.02,229829.01,898420.27,241162.44,247096.27,244471.86,252890.66,985621.24
Kota Jakarta Barat,112.74,113.24,113.87,115.97,455.81,29285.18,29579.22,30425.92,32082.36,121372.67,133725.75,136652.15,136598.40,141330.15,548306.46,163123.66,166344.61,167138.19,173528.48,670134.94
Kota Jakarta Utara,228.24,224.06,230.89,276.98,960.18,75422.03,75238.52,77546.00,80339.74,308546.30,97999.39,100800.16,101455.27,104211.16,404465.97,173649.67,176262.75,179232.15,184827.88,713972.45
Bogor,6498.30,6409.49,6410.24,6465.90,25783.93,49592.40,50347.35,51032.16,53066.77,204038.68,25598.87,26403.99,26459.62,28078.49,106540.98,81689.58,83160.82,83902.02,87611.16,336363.58
Sukabumi,7012.76,6477.03,6852.15,6534.64,26876.57,6435.47,6678.73,6930.58,7021.19,27065.98,9976.86,10327.18,10339.70,10794.36,41438.11,23425.09,23482.95,24122.43,24350.19,95380.66
Cianjur,5687.83,6244.36,6161.58,4053.70,22147.47,2391.71,2690.45,2784.59,2804.83,10671.58,8863.96,9145.28,8970.20,9519.47,36498.91,16943.50,18080.10,17916.38,16377.99,69317.96
Bandung,4083.33,4257.09,3800.41,4201.27,16342.10,24610.23,25759.74,26288.32,26221.81,102880.10,14737.11,15129.70,15328.96,15502.85,60698.62,43430.66,45146.53,45417.69,45925.93,179920.82
Garut,8752.91,8054.37,7841.08,7550.25,32198.61,3138.48,3210.58,3307.74,3530.25,13187.05,9822.96,10123.41,10163.46,10503.73,40613.55,21714.34,21388.36,21312.28,21584.22,85999.21
Tasikmalaya,5667.50,5157.89,5131.76,5259.20,21216.35,2012.84,2051.49,2157.78,2280.68,8502.79,5968.70,6149.07,6162.36,6304.72,24584.85,13649.04,13358.45,13451.90,13844.60,54303.99
Ciamis,2449.94,2553.87,2599.73,2599.47,10203.00,1686.38,1815.06,1824.76,1902.36,7228.56,7111.78,7320.06,7299.61,7429.83,29161.28,11248.10,11688.99,11724.10,11931.65,46592.84
Kuningan,2819.47,3040.18,2833.77,2401.55,11094.98,963.58,978.01,1024.08,1027.77,3993.44,6328.59,6635.78,6913.32,6989.14,26866.84,10111.65,10653.98,10771.18,10418.46,41955.26
Cirebon,2688.43,3647.34,3109.51,3243.22,12688.49,5403.63,5524.81,5827.88,5945.71,22702.03,9276.93,9577.35,9606.97,10104.85,38566.10,17368.99,18749.50,18544.36,19293.77,73956.62
Majalengka,2681.54,2773.32,2813.89,1317.99,9586.75,4453.79,4682.10,4852.83,5420.40,19409.11,5033.56,5552.36,5315.23,5669.14,21570.30,12168.89,13007.78,12981.96,12407.53,50566.15
Sumedang,2792.95,2844.99,2583.42,2155.00,10376.35,3372.59,3543.76,3836.73,4056.58,14809.66,6227.02,6507.07,6381.31,6690.52,25805.92,12392.56,12895.82,12801.46,12902.10,50991.94
Indramayu,5835.71,7585.59,7022.26,7280.82,27724.38,13395.80,13710.33,13858.81,14271.70,55236.64,7706.31,7982.78,7964.63,8047.90,31701.63,26937.82,29278.70,28845.70,29600.43,114662.65
Subang,4681.70,5152.14,4994.61,5235.45,20063.91,3065.07,3131.40,3220.29,3464.20,12880.95,6139.55,6297.61,6369.98,6818.12,25625.27,13886.33,14581.15,14584.88,15517.77,58570.13
Purwakarta,1795.31,1897.69,1838.25,1587.94,7119.20,14863.69,15062.06,15261.31,15822.45,61009.51,6415.55,6627.32,6640.21,7023.30,26706.38,23074.55,23587.08,23739.77,24433.69,94835.09
Karawang,3274.27,4252.84,3834.49,4265.85,15627.45,59511.11,61676.10,64497.02,65523.67,251207.90,16862.11,17618.18,17841.10,18090.01,70411.41,79647.49,83547.12,86172.62,87879.53,337246.76
Bekasi,1618.87,1896.33,1889.34,2066.37,7470.91,90648.87,92762.99,95167.09,97627.60,376206.55,16643.47,16936.51,16628.05,17626.04,67834.07,108911.21,111595.83,113684.48,117320.01,451511.53
Bandung Barat,2234.55,2295.93,2296.99,2348.67,9176.14,7678.89,7938.93,7962.47,8224.35,31804.64,6003.98,6193.71,6253.01,6482.14,24932.84,15917.42,16428.58,16512.47,17055.15,65913.62
Pangandaran,1126.72,1163.07,1271.81,1040.34,4601.94,493.70,503.56,538.31,566.65,2102.22,2393.46,2531.78,2545.56,2583.28,10054.08,4013.88,4198.41,4355.68,4190.27,16758.24
Kota Bogor,115.73,152.08,121.52,130.51,519.84,5171.42,5194.93,5256.96,5405.22,21028.54,10653.50,10927.98,11065.12,11591.08,44237.67,15940.66,16274.98,16443.61,17126.81,65786.05
Kota Sukabumi,158.57,162.80,149.62,180.25,651.23,508.09,521.91,531.22,535.40,2096.62,3798.66,3884.32,3919.27,3312.45,14914.70,4465.32,4569.03,4600.11,4028.10,17662.55
Kota Bandung,86.66,105.84,82.27,88.96,363.73,25045.85,25668.20,25779.69,26151.66,102645.39,72119.62,74929.05,75315.42,78597.50,300961.60,97252.13,100703.09,101177.38,104838.12,403970.71
Kota Cirebon,21.31,21.19,20.27,18.00,80.77,1697.15,1664.21,1715.43,1809.36,6886.15,6249.25,6614.66,6601.94,6646.67,26112.52,7967.71,8300.05,8337.64,8474.04,33079.44
Kota Bekasi,179.11,193.37,187.87,184.85,745.20,14989.74,15421.06,15712.03,15868.85,61991.68,18459.73,19296.64,18885.92,19691.43,76333.73,33628.58,34911.07,34785.81,35745.14,139070.61
Kota Depok,358.19,376.86,362.95,373.56,1471.56,12042.52,12533.51,12687.16,12803.40,50066.59,11964.10,12403.93,12417.96,12889.49,49675.49,24364.81,25314.30,25468.08,26066.45,101213.64
Kota Cimahi,25.39,26.15,24.86,22.14,98.54,6413.33,6645.16,6687.91,6724.77,26471.16,4910.94,5074.12,5024.03,5105.42,20114.52,11349.66,11745.42,11736.81,11852.33,46684.22
Kota Tasikmalaya,396.27,437.08,409.56,432.32,1675.24,2154.75,2225.62,2245.74,2310.74,8936.86,5129.43,5388.03,5239.99,5622.13,21379.58,7680.45,8050.74,7895.29,8365.19,31991.67
Kota Banjar,186.05,219.81,206.05,187.74,799.66,290.08,277.93,301.95,339.53,1209.49,935.36,952.30,974.20,1074.70,3936.55,1411.49,1450.04,1482.20,1601.97,5945.71
Cilacap,5071.20,5425.87,5077.69,4171.52,19746.28,20606.93,22232.81,22904.83,22505.92,88250.49,8432.19,8734.00,8700.71,8842.84,34709.74,34110.31,36392.69,36683.23,35520.28,142706.51
Banyumas,3277.70,3302.17,3315.45,2915.36,12810.69,7618.48,7822.48,8016.89,8243.80,31701.65,8584.80,8819.92,8833.22,9053.29,35291.23,19480.98,19944.57,20165.57,20212.44,79803.56
Purbalingga,2682.07,2774.02,2526.77,2613.75,10596.61,3063.09,3112.23,3202.85,3256.39,12634.55,3096.14,3198.00,3233.12,3312.45,12839.72,8841.30,9084.25,8962.74,9182.59,36070.88
Banjarnegara,2520.24,2639.03,2564.79,2487.92,10211.98,1866.25,1904.52,2012.59,2113.70,7897.07,3216.27,3279.81,3307.02,3439.35,13242.46,7602.77,7823.37,7884.40,8040.97,31351.51
Kebumen,2730.25,2331.45,2503.70,2238.42,9803.82,3079.88,3153.64,3264.48,3374.22,12872.22,4555.98,4688.90,4751.50,4848.14,18844.53,10366.12,10173.99,10519.68,10460.77,41520.57
Purworejo,1553.99,1402.61,1336.45,1253.42,5546.48,1884.83,1943.54,2028.81,2103.98,7961.16,3096.89,3257.43,3272.50,3349.10,12975.92,6535.72,6603.59,6637.76,6706.50,26483.56
